0.72	0.88	0.86	1	1	0.86	0.73	0.84	1	0.8
1	0.69	0	1	0.69	0.69	0	1	1	1
1	1	0	0	1	0	1	0	1	1
0	0	0	0	0.69	0	1	1	0	1
-0.08	0	-0.08	0	0	0	0	0	0.46	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1	1	1	0.66	1	1	1	1	0
0	0	1	1	1	-0.06	0	1	1	0.69
0	0	0	0	0	0	0	0	0	-0.05
1	0	0	0	1	0	0	0	0	0
0	-0.08	0	0	0	0	0	0	0	0
0.44	0.46	0	0	0	0	0	0	1	1
0	0	0	0	1	1	1	0.69	0	0
1	0.69	0.69	1	1	1	1	1	0	1
0	0	1	1	0	1	0	0	0	1
0	0	0.69	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.69	0	0
0.79	1	0	1	1	1	0	1	1	0
0	0	0	0	1	0.69	0	0.69	0	1
0	0	1	0	0	0	-0.06	0	0	0
0	0	0	0	0	0	0	0	1	-0.05
0	0	0	0.54	0	0	0.54	0	0.69	0
