0	0.14	0.24	0.07	0.07	0.76	-0.12	0.46	1	0.06
0	-0.08	0	-0.08	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0.22	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	-0.16	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.19	0	0.69	0.46	-0.08	0	-0.06	0.69	0.32	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.18	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	-0.12	0	0	0	0.54	0	0	-0.06	0
0	0	0	0	0	0	0.18	1	-0.06	0
0	0	0	0	0	0	0	0	0.2	0
0	0	0	0	0	0	0	0	0	0
0	0.69	1	0	1	1	0	0	1	0
0.44	0.69	0	0	-0.06	0	0.79	0	0.69	0
0	0	1	-0.18	-0.06	0.25	-0.08	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
